 r	vr	ne	p	pw
   1.05932	 1.63282E-02	 5.14101E-01	 3.43912E-02	 0.00000E+00
   1.06243	 1.70524E-02	 4.87914E-01	 3.32417E-02	 0.00000E+00
   1.06569	 1.78117E-02	 4.62825E-01	 3.21035E-02	 0.00000E+00
   1.06911	 1.86062E-02	 4.38785E-01	 3.09771E-02	 0.00000E+00
   1.07271	 1.94395E-02	 4.15712E-01	 2.98615E-02	 0.00000E+00
   1.07650	 2.03155E-02	 3.93584E-01	 2.87585E-02	 0.00000E+00
   1.08047	 2.12350E-02	 3.72387E-01	 2.76696E-02	 0.00000E+00
   1.08465	 2.22002E-02	 3.52062E-01	 2.65946E-02	 0.00000E+00
   1.08905	 2.32161E-02	 3.32589E-01	 2.55348E-02	 0.00000E+00
   1.09366	 2.42840E-02	 3.13951E-01	 2.44917E-02	 0.00000E+00
   1.09852	 2.54066E-02	 2.96109E-01	 2.34653E-02	 0.00000E+00
   1.10362	 2.65888E-02	 2.79048E-01	 2.24574E-02	 0.00000E+00
   1.10898	 2.78321E-02	 2.62749E-01	 2.14689E-02	 0.00000E+00
   1.11461	 2.91403E-02	 2.47179E-01	 2.05001E-02	 0.00000E+00
   1.12054	 3.05183E-02	 2.32315E-01	 1.95517E-02	 0.00000E+00
   1.12676	 3.19700E-02	 2.18146E-01	 1.86252E-02	 0.00000E+00
   1.13330	 3.34971E-02	 2.04646E-01	 1.77210E-02	 0.00000E+00
   1.14018	 3.51062E-02	 1.91793E-01	 1.68398E-02	 0.00000E+00
   1.14740	 3.68008E-02	 1.79571E-01	 1.59823E-02	 0.00000E+00
   1.15500	 3.85849E-02	 1.67958E-01	 1.51489E-02	 0.00000E+00
   1.16298	 4.04644E-02	 1.56937E-01	 1.43404E-02	 0.00000E+00
   1.17137	 4.24426E-02	 1.46486E-01	 1.35572E-02	 0.00000E+00
   1.18019	 4.45256E-02	 1.36588E-01	 1.27995E-02	 0.00000E+00
   1.18946	 4.67182E-02	 1.27224E-01	 1.20679E-02	 0.00000E+00
   1.19920	 4.90252E-02	 1.18376E-01	 1.13626E-02	 0.00000E+00
   1.20944	 5.14514E-02	 1.10026E-01	 1.06837E-02	 0.00000E+00
   1.22020	 5.40030E-02	 1.02154E-01	 1.00314E-02	 0.00000E+00
   1.23151	 5.66845E-02	 9.47424E-02	 9.40566E-03	 0.00000E+00
   1.24340	 5.95019E-02	 8.77731E-02	 8.80645E-03	 0.00000E+00
   1.25589	 6.24604E-02	 8.12290E-02	 8.23371E-03	 0.00000E+00
   1.26902	 6.55640E-02	 7.50910E-02	 7.68718E-03	 0.00000E+00
   1.28282	 6.88192E-02	 6.93407E-02	 7.16648E-03	 0.00000E+00
   1.29733	 7.22312E-02	 6.39612E-02	 6.67136E-03	 0.00000E+00
   1.31257	 7.58046E-02	 5.89356E-02	 6.20141E-03	 0.00000E+00
   1.32860	 7.95429E-02	 5.42463E-02	 5.75612E-03	 0.00000E+00
   1.34544	 8.34531E-02	 4.98771E-02	 5.33503E-03	 0.00000E+00
   1.36314	 8.75364E-02	 4.58120E-02	 4.93755E-03	 0.00000E+00
   1.38174	 9.17973E-02	 4.20345E-02	 4.56303E-03	 0.00000E+00
   1.40129	 9.62391E-02	 3.85288E-02	 4.21077E-03	 0.00000E+00
   1.42184	 1.00865E-01	 3.52793E-02	 3.88003E-03	 0.00000E+00
   1.44344	 1.05678E-01	 3.22714E-02	 3.57007E-03	 0.00000E+00
   1.46614	 1.10679E-01	 2.94910E-02	 3.28014E-03	 0.00000E+00
   1.49000	 1.15869E-01	 2.69241E-02	 3.00943E-03	 0.00000E+00
   1.51508	 1.21249E-01	 2.45575E-02	 2.75714E-03	 0.00000E+00
   1.54143	 1.26819E-01	 2.23785E-02	 2.52246E-03	 0.00000E+00
   1.56913	 1.32577E-01	 2.03743E-02	 2.30451E-03	 0.00000E+00
   1.59825	 1.38522E-01	 1.85332E-02	 2.10247E-03	 0.00000E+00
   1.62885	 1.44654E-01	 1.68443E-02	 1.91554E-03	 0.00000E+00
   1.66101	 1.50967E-01	 1.52967E-02	 1.74289E-03	 0.00000E+00
   1.69481	 1.57458E-01	 1.38802E-02	 1.58371E-03	 0.00000E+00
   1.73034	 1.64123E-01	 1.25852E-02	 1.43719E-03	 0.00000E+00
   1.76768	 1.70957E-01	 1.14026E-02	 1.30257E-03	 0.00000E+00
   1.80692	 1.77954E-01	 1.03239E-02	 1.17909E-03	 0.00000E+00
   1.84817	 1.85106E-01	 9.34083E-03	 1.06602E-03	 0.00000E+00
   1.89152	 1.92409E-01	 8.44591E-03	 9.62658E-04	 0.00000E+00
   1.93709	 1.99853E-01	 7.63201E-03	 8.68317E-04	 0.00000E+00
   1.98498	 2.07433E-01	 6.89257E-03	 7.82357E-04	 0.00000E+00
   2.03531	 2.15138E-01	 6.22136E-03	 7.04157E-04	 0.00000E+00
   2.08821	 2.22962E-01	 5.61262E-03	 6.33124E-04	 0.00000E+00
   2.14381	 2.30894E-01	 5.06098E-03	 5.68699E-04	 0.00000E+00
   2.20225	 2.38928E-01	 4.56149E-03	 5.10353E-04	 0.00000E+00
   2.26367	 2.47054E-01	 4.10958E-03	 4.57591E-04	 0.00000E+00
   2.32822	 2.55264E-01	 3.70100E-03	 4.09944E-04	 0.00000E+00
   2.39607	 2.63551E-01	 3.33184E-03	 3.66974E-04	 0.00000E+00
   2.46738	 2.71907E-01	 2.99851E-03	 3.28272E-04	 0.00000E+00
   2.54233	 2.80326E-01	 2.69772E-03	 2.93458E-04	 0.00000E+00
   2.62110	 2.88801E-01	 2.42644E-03	 2.62179E-04	 0.00000E+00
   2.70389	 2.97326E-01	 2.18189E-03	 2.34108E-04	 0.00000E+00
   2.79090	 3.05896E-01	 1.96154E-03	 2.08941E-04	 0.00000E+00
   2.88236	 3.14508E-01	 1.76308E-03	 1.86401E-04	 0.00000E+00
   2.97848	 3.23158E-01	 1.58441E-03	 1.66233E-04	 0.00000E+00
   3.07951	 3.31842E-01	 1.42362E-03	 1.48203E-04	 0.00000E+00
   3.18569	 3.40561E-01	 1.27896E-03	 1.32096E-04	 0.00000E+00
   3.29729	 3.49311E-01	 1.14885E-03	 1.17718E-04	 0.00000E+00
   3.41459	 3.58094E-01	 1.03187E-03	 1.04891E-04	 0.00000E+00
   3.53786	 3.66909E-01	 9.26706E-04	 9.34544E-05	 0.00000E+00
   3.66743	 3.75758E-01	 8.32188E-04	 8.32612E-05	 0.00000E+00
   3.80361	 3.84642E-01	 7.47256E-04	 7.41802E-05	 0.00000E+00
   3.94674	 3.93562E-01	 6.70952E-04	 6.60928E-05	 0.00000E+00
   4.09718	 4.02517E-01	 6.02412E-04	 5.88919E-05	 0.00000E+00
   4.25529	 4.11511E-01	 5.40856E-04	 5.24817E-05	 0.00000E+00
   4.42146	 4.20545E-01	 4.85576E-04	 4.67759E-05	 0.00000E+00
   4.59612	 4.29621E-01	 4.35940E-04	 4.16972E-05	 0.00000E+00
   4.77969	 4.38738E-01	 3.91375E-04	 3.71769E-05	 0.00000E+00
   4.97262	 4.47897E-01	 3.51368E-04	 3.31534E-05	 0.00000E+00
   5.17540	 4.57098E-01	 3.15456E-04	 2.95718E-05	 0.00000E+00
   5.38852	 4.66342E-01	 2.83221E-04	 2.63832E-05	 0.00000E+00
   5.61252	 4.75625E-01	 2.54290E-04	 2.35441E-05	 0.00000E+00
   5.84795	 4.84946E-01	 2.28323E-04	 2.10157E-05	 0.00000E+00
   6.09540	 4.94308E-01	 2.05019E-04	 1.87634E-05	 0.00000E+00
   6.35546	 5.03704E-01	 1.84103E-04	 1.67568E-05	 0.00000E+00
   6.62880	 5.13137E-01	 1.65332E-04	 1.49684E-05	 0.00000E+00
   6.91609	 5.22600E-01	 1.48486E-04	 1.33744E-05	 0.00000E+00
   7.21803	 5.32092E-01	 1.33367E-04	 1.19530E-05	 0.00000E+00
   7.53539	 5.41611E-01	 1.19795E-04	 1.06850E-05	 0.00000E+00
   7.86893	 5.51156E-01	 1.07613E-04	 9.55371E-06	 0.00000E+00
   8.21949	 5.60721E-01	 9.66777E-05	 8.54394E-06	 0.00000E+00
   8.58795	 5.70308E-01	 8.68606E-05	 7.64237E-06	 0.00000E+00
   8.97520	 5.79912E-01	 7.80476E-05	 6.83720E-06	 0.00000E+00
   9.38221	 5.89528E-01	 7.01353E-05	 6.11787E-06	 0.00000E+00
   9.80999	 5.99152E-01	 6.30309E-05	 5.47497E-06	 0.00000E+00
  10.25960	 6.08790E-01	 5.66514E-05	 4.90017E-06	 0.00000E+00
  10.73215	 6.18433E-01	 5.09225E-05	 4.38609E-06	 0.00000E+00
  11.22881	 6.28076E-01	 4.57773E-05	 3.92611E-06	 0.00000E+00
  11.75081	 6.37726E-01	 4.11554E-05	 3.51434E-06	 0.00000E+00
  12.29945	 6.47380E-01	 3.70030E-05	 3.14554E-06	 0.00000E+00
  12.87608	 6.57039E-01	 3.32724E-05	 2.81512E-06	 0.00000E+00
  13.48214	 6.66694E-01	 2.99203E-05	 2.51891E-06	 0.00000E+00
  14.11912	 6.76358E-01	 2.69077E-05	 2.25319E-06	 0.00000E+00
  14.78860	 6.86021E-01	 2.42001E-05	 2.01471E-06	 0.00000E+00
  15.49224	 6.95692E-01	 2.17664E-05	 1.80052E-06	 0.00000E+00
  16.23179	 7.05372E-01	 1.95786E-05	 1.60799E-06	 0.00000E+00
  17.00907	 7.15070E-01	 1.76116E-05	 1.43476E-06	 0.00000E+00
  17.82602	 7.24785E-01	 1.58429E-05	 1.27876E-06	 0.00000E+00
  18.68464	 7.34528E-01	 1.42523E-05	 1.13811E-06	 0.00000E+00
  19.58708	 7.44308E-01	 1.28217E-05	 1.01115E-06	 0.00000E+00
  20.53557	 7.54120E-01	 1.15352E-05	 8.96434E-07	 0.00000E+00
  21.53246	 7.63958E-01	 1.03784E-05	 7.92709E-07	 0.00000E+00
  22.58021	 7.73822E-01	 9.33822E-06	 6.98895E-07	 0.00000E+00
  23.68142	 7.83689E-01	 8.40352E-06	 6.14126E-07	 0.00000E+00
  24.83875	 7.93481E-01	 7.56443E-06	 5.37754E-07	 0.00000E+00
  26.05430	 8.03117E-01	 6.81326E-06	 4.69408E-07	 0.00000E+00
  27.32721	 8.12371E-01	 6.14593E-06	 4.09137E-07	 0.00000E+00
  28.64907	 8.20761E-01	 5.56344E-06	 3.57765E-07	 0.00000E+00
  30.00000	 8.27116E-01	 5.04836E-06	 3.17865E-07	 0.00000E+00
