rh    vr    ne    p    pw
   1.04889E+00   1.02479E-03   1.61897E+00   9.37673E-02   0.00000E+00
   1.05009E+00   1.04778E-03   1.57999E+00   9.23444E-02   0.00000E+00
   1.05131E+00   1.07102E-03   1.54225E+00   9.09359E-02   0.00000E+00
   1.05255E+00   1.09454E-03   1.50569E+00   8.95418E-02   0.00000E+00
   1.05381E+00   1.11834E-03   1.47024E+00   8.81612E-02   0.00000E+00
   1.05509E+00   1.14243E-03   1.43584E+00   8.67941E-02   0.00000E+00
   1.05639E+00   1.16683E-03   1.40244E+00   8.54404E-02   0.00000E+00
   1.05772E+00   1.19155E-03   1.36999E+00   8.40994E-02   0.00000E+00
   1.05906E+00   1.21660E-03   1.33844E+00   8.27711E-02   0.00000E+00
   1.06043E+00   1.24200E-03   1.30775E+00   8.14554E-02   0.00000E+00
   1.06182E+00   1.26776E-03   1.27788E+00   8.01520E-02   0.00000E+00
   1.06324E+00   1.29389E-03   1.24879E+00   7.88607E-02   0.00000E+00
   1.06468E+00   1.32040E-03   1.22044E+00   7.75814E-02   0.00000E+00
   1.06614E+00   1.34732E-03   1.19282E+00   7.63139E-02   0.00000E+00
   1.06762E+00   1.37465E-03   1.16588E+00   7.50581E-02   0.00000E+00
   1.06913E+00   1.40241E-03   1.13960E+00   7.38139E-02   0.00000E+00
   1.07067E+00   1.43061E-03   1.11395E+00   7.25812E-02   0.00000E+00
   1.07223E+00   1.45927E-03   1.08891E+00   7.13598E-02   0.00000E+00
   1.07382E+00   1.48840E-03   1.06446E+00   7.01498E-02   0.00000E+00
   1.07543E+00   1.51802E-03   1.04057E+00   6.89510E-02   0.00000E+00
   1.07707E+00   1.54814E-03   1.01722E+00   6.77634E-02   0.00000E+00
   1.07873E+00   1.57878E-03   9.94401E-01   6.65868E-02   0.00000E+00
   1.08043E+00   1.60996E-03   9.72085E-01   6.54214E-02   0.00000E+00
   1.08215E+00   1.64169E-03   9.50258E-01   6.42670E-02   0.00000E+00
   1.08390E+00   1.67399E-03   9.28904E-01   6.31235E-02   0.00000E+00
   1.08568E+00   1.70689E-03   9.08009E-01   6.19910E-02   0.00000E+00
   1.08749E+00   1.74039E-03   8.87558E-01   6.08695E-02   0.00000E+00
   1.08932E+00   1.77451E-03   8.67539E-01   5.97590E-02   0.00000E+00
   1.09119E+00   1.80929E-03   8.47935E-01   5.86593E-02   0.00000E+00
   1.09309E+00   1.84473E-03   8.28737E-01   5.75705E-02   0.00000E+00
   1.09502E+00   1.88086E-03   8.09934E-01   5.64927E-02   0.00000E+00
   1.09699E+00   1.91770E-03   7.91512E-01   5.54257E-02   0.00000E+00
   1.09898E+00   1.95527E-03   7.73462E-01   5.43697E-02   0.00000E+00
   1.10101E+00   1.99360E-03   7.55777E-01   5.33247E-02   0.00000E+00
   1.10307E+00   2.03271E-03   7.38443E-01   5.22906E-02   0.00000E+00
   1.10517E+00   2.07262E-03   7.21454E-01   5.12674E-02   0.00000E+00
   1.10730E+00   2.11335E-03   7.04800E-01   5.02553E-02   0.00000E+00
   1.10947E+00   2.15495E-03   6.88472E-01   4.92541E-02   0.00000E+00
   1.11167E+00   2.19742E-03   6.72465E-01   4.82639E-02   0.00000E+00
   1.11391E+00   2.24080E-03   6.56770E-01   4.72849E-02   0.00000E+00
   1.11618E+00   2.28512E-03   6.41379E-01   4.63168E-02   0.00000E+00
   1.11849E+00   2.33041E-03   6.26286E-01   4.53599E-02   0.00000E+00
   1.12084E+00   2.37670E-03   6.11484E-01   4.44140E-02   0.00000E+00
   1.12323E+00   2.42402E-03   5.96969E-01   4.34793E-02   0.00000E+00
   1.12566E+00   2.47240E-03   5.82732E-01   4.25558E-02   0.00000E+00
   1.12813E+00   2.52188E-03   5.68769E-01   4.16435E-02   0.00000E+00
   1.13064E+00   2.57249E-03   5.55074E-01   4.07424E-02   0.00000E+00
   1.13319E+00   2.62427E-03   5.41641E-01   3.98526E-02   0.00000E+00
   1.13579E+00   2.67726E-03   5.28467E-01   3.89741E-02   0.00000E+00
   1.13842E+00   2.73149E-03   5.15545E-01   3.81068E-02   0.00000E+00
   1.14110E+00   2.78701E-03   5.02872E-01   3.72510E-02   0.00000E+00
   1.14383E+00   2.84386E-03   4.90442E-01   3.64064E-02   0.00000E+00
   1.14660E+00   2.90208E-03   4.78252E-01   3.55733E-02   0.00000E+00
   1.14941E+00   2.96172E-03   4.66296E-01   3.47515E-02   0.00000E+00
   1.15228E+00   3.02282E-03   4.54572E-01   3.39411E-02   0.00000E+00
   1.15518E+00   3.08543E-03   4.43074E-01   3.31422E-02   0.00000E+00
   1.15814E+00   3.14961E-03   4.31801E-01   3.23548E-02   0.00000E+00
   1.16115E+00   3.21539E-03   4.20747E-01   3.15788E-02   0.00000E+00
   1.16420E+00   3.28285E-03   4.09909E-01   3.08143E-02   0.00000E+00
   1.16731E+00   3.35203E-03   3.99284E-01   3.00613E-02   0.00000E+00
   1.17047E+00   3.42298E-03   3.88869E-01   2.93198E-02   0.00000E+00
   1.17368E+00   3.49578E-03   3.78660E-01   2.85897E-02   0.00000E+00
   1.17694E+00   3.57048E-03   3.68654E-01   2.78712E-02   0.00000E+00
   1.18026E+00   3.64714E-03   3.58849E-01   2.71642E-02   0.00000E+00
   1.18363E+00   3.72583E-03   3.49245E-01   2.64689E-02   0.00000E+00
   1.18705E+00   3.80657E-03   3.39844E-01   2.57858E-02   0.00000E+00
   1.19052E+00   3.88934E-03   3.30657E-01   2.51158E-02   0.00000E+00
   1.19403E+00   3.97407E-03   3.21695E-01   2.44599E-02   0.00000E+00
   1.19758E+00   4.06069E-03   3.12964E-01   2.38188E-02   0.00000E+00
   1.20117E+00   4.14912E-03   3.04469E-01   2.31930E-02   0.00000E+00
   1.20478E+00   4.23934E-03   2.96205E-01   2.25824E-02   0.00000E+00
   1.20843E+00   4.33134E-03   2.88168E-01   2.19868E-02   0.00000E+00
   1.21211E+00   4.42516E-03   2.80351E-01   2.14059E-02   0.00000E+00
   1.21582E+00   4.52082E-03   2.72748E-01   2.08394E-02   0.00000E+00
   1.21957E+00   4.61837E-03   2.65351E-01   2.02869E-02   0.00000E+00
   1.22334E+00   4.71786E-03   2.58155E-01   1.97481E-02   0.00000E+00
   1.22715E+00   4.81934E-03   2.51154E-01   1.92227E-02   0.00000E+00
   1.23099E+00   4.92285E-03   2.44341E-01   1.87104E-02   0.00000E+00
   1.23487E+00   5.02844E-03   2.37712E-01   1.82108E-02   0.00000E+00
   1.23878E+00   5.13616E-03   2.31260E-01   1.77236E-02   0.00000E+00
   1.24272E+00   5.24605E-03   2.24981E-01   1.72486E-02   0.00000E+00
   1.24670E+00   5.35817E-03   2.18870E-01   1.67855E-02   0.00000E+00
   1.25071E+00   5.47256E-03   2.12922E-01   1.63341E-02   0.00000E+00
   1.25475E+00   5.58929E-03   2.07132E-01   1.58939E-02   0.00000E+00
   1.25883E+00   5.70839E-03   2.01496E-01   1.54649E-02   0.00000E+00
   1.26295E+00   5.82993E-03   1.96011E-01   1.50466E-02   0.00000E+00
   1.26710E+00   5.95396E-03   1.90671E-01   1.46390E-02   0.00000E+00
   1.27129E+00   6.08053E-03   1.85473E-01   1.42416E-02   0.00000E+00
   1.27552E+00   6.20970E-03   1.80412E-01   1.38544E-02   0.00000E+00
   1.27978E+00   6.34153E-03   1.75486E-01   1.34770E-02   0.00000E+00
   1.28408E+00   6.47608E-03   1.70690E-01   1.31092E-02   0.00000E+00
   1.28842E+00   6.61340E-03   1.66022E-01   1.27508E-02   0.00000E+00
   1.29279E+00   6.75356E-03   1.61477E-01   1.24016E-02   0.00000E+00
   1.29720E+00   6.89661E-03   1.57053E-01   1.20614E-02   0.00000E+00
   1.30165E+00   7.04262E-03   1.52746E-01   1.17299E-02   0.00000E+00
   1.30614E+00   7.19166E-03   1.48553E-01   1.14070E-02   0.00000E+00
   1.31067E+00   7.34378E-03   1.44471E-01   1.10924E-02   0.00000E+00
   1.31524E+00   7.49905E-03   1.40498E-01   1.07860E-02   0.00000E+00
   1.31984E+00   7.65754E-03   1.36630E-01   1.04875E-02   0.00000E+00
   1.32449E+00   7.81932E-03   1.32865E-01   1.01968E-02   0.00000E+00
   1.32918E+00   7.98446E-03   1.29200E-01   9.91373E-03   0.00000E+00
   1.33391E+00   8.15302E-03   1.25632E-01   9.63805E-03   0.00000E+00
   1.33868E+00   8.32507E-03   1.22160E-01   9.36961E-03   0.00000E+00
   1.34349E+00   8.50069E-03   1.18780E-01   9.10822E-03   0.00000E+00
   1.34834E+00   8.67996E-03   1.15490E-01   8.85372E-03   0.00000E+00
   1.35323E+00   8.86294E-03   1.12288E-01   8.60595E-03   0.00000E+00
   1.35817E+00   9.04970E-03   1.09172E-01   8.36475E-03   0.00000E+00
   1.36315E+00   9.24034E-03   1.06139E-01   8.12996E-03   0.00000E+00
   1.36818E+00   9.43492E-03   1.03187E-01   7.90142E-03   0.00000E+00
   1.37324E+00   9.63352E-03   1.00315E-01   7.67897E-03   0.00000E+00
   1.37835E+00   9.83622E-03   9.75196E-02   7.46248E-03   0.00000E+00
   1.38351E+00   1.00431E-02   9.47995E-02   7.25179E-03   0.00000E+00
   1.38871E+00   1.02543E-02   9.21528E-02   7.04677E-03   0.00000E+00
   1.39396E+00   1.04698E-02   8.95775E-02   6.84727E-03   0.00000E+00
   1.39925E+00   1.06897E-02   8.70717E-02   6.65316E-03   0.00000E+00
   1.40458E+00   1.09141E-02   8.46337E-02   6.46430E-03   0.00000E+00
   1.40997E+00   1.11432E-02   8.22618E-02   6.28057E-03   0.00000E+00
   1.41540E+00   1.13769E-02   7.99541E-02   6.10184E-03   0.00000E+00
   1.42087E+00   1.16155E-02   7.77092E-02   5.92797E-03   0.00000E+00
   1.42640E+00   1.18589E-02   7.55254E-02   5.75886E-03   0.00000E+00
   1.43197E+00   1.21072E-02   7.34011E-02   5.59438E-03   0.00000E+00
   1.43759E+00   1.23607E-02   7.13347E-02   5.43442E-03   0.00000E+00
   1.44326E+00   1.26192E-02   6.93249E-02   5.27885E-03   0.00000E+00
   1.44898E+00   1.28830E-02   6.73700E-02   5.12757E-03   0.00000E+00
   1.45475E+00   1.31522E-02   6.54687E-02   4.98047E-03   0.00000E+00
   1.46057E+00   1.34268E-02   6.36197E-02   4.83744E-03   0.00000E+00
   1.46644E+00   1.37069E-02   6.18214E-02   4.69838E-03   0.00000E+00
   1.47236E+00   1.39927E-02   6.00727E-02   4.56318E-03   0.00000E+00
   1.47834E+00   1.42842E-02   5.83722E-02   4.43175E-03   0.00000E+00
   1.48436E+00   1.45815E-02   5.67187E-02   4.30399E-03   0.00000E+00
   1.49044E+00   1.48847E-02   5.51109E-02   4.17980E-03   0.00000E+00
   1.49657E+00   1.51940E-02   5.35477E-02   4.05909E-03   0.00000E+00
   1.50275E+00   1.55095E-02   5.20278E-02   3.94177E-03   0.00000E+00
   1.50898E+00   1.58312E-02   5.05501E-02   3.82775E-03   0.00000E+00
   1.51527E+00   1.61593E-02   4.91136E-02   3.71694E-03   0.00000E+00
   1.52162E+00   1.64938E-02   4.77171E-02   3.60927E-03   0.00000E+00
   1.52802E+00   1.68349E-02   4.63595E-02   3.50463E-03   0.00000E+00
   1.53448E+00   1.71827E-02   4.50399E-02   3.40296E-03   0.00000E+00
   1.54099E+00   1.75372E-02   4.37571E-02   3.30418E-03   0.00000E+00
   1.54756E+00   1.78987E-02   4.25104E-02   3.20821E-03   0.00000E+00
   1.55418E+00   1.82672E-02   4.12986E-02   3.11497E-03   0.00000E+00
   1.56087E+00   1.86429E-02   4.01208E-02   3.02440E-03   0.00000E+00
   1.56761E+00   1.90257E-02   3.89762E-02   2.93641E-03   0.00000E+00
   1.57441E+00   1.94160E-02   3.78638E-02   2.85094E-03   0.00000E+00
   1.58127E+00   1.98137E-02   3.67827E-02   2.76792E-03   0.00000E+00
   1.58818E+00   2.02190E-02   3.57322E-02   2.68728E-03   0.00000E+00
   1.59516E+00   2.06320E-02   3.47114E-02   2.60896E-03   0.00000E+00
