Time	vr_dp01	vt_dp01	vp_dp01	Br_dp01	Bt_dp01	Bp_dp01	Jr_dp01	Jt_dp01	Jp_dp01	rho_dp01	p_dp01
 1.43094614E+00	 1.52056831E-01	-4.19980809E-03	-1.05113119E-02	 2.55197457E+00	-4.64781049E-02	-1.67751073E-01	 1.82091025E-03	-1.22733317E-01	-5.98091128E-02	 1.51573280E+00	 1.91572691E-01
 1.46680269E+00	 1.53749596E-01	-4.23576204E-03	-1.06194187E-02	 2.55227076E+00	-4.65882239E-02	-1.67870734E-01	 1.82191913E-03	-1.23728493E-01	-5.89912251E-02	 1.51827869E+00	 1.91906047E-01
 1.50208520E+00	 1.55305657E-01	-4.30748215E-03	-1.07766198E-02	 2.55252327E+00	-4.66295835E-02	-1.68037662E-01	 1.86639749E-03	-1.24302078E-01	-5.88338612E-02	 1.52067824E+00	 1.92220805E-01
 1.53682878E+00	 1.56750708E-01	-4.37587368E-03	-1.09097936E-02	 2.55244790E+00	-4.66820173E-02	-1.68197862E-01	 1.91719550E-03	-1.25770687E-01	-5.77921440E-02	 1.52279392E+00	 1.92498610E-01
 1.57107561E+00	 1.58109153E-01	-4.41314874E-03	-1.09879385E-02	 2.55220905E+00	-4.67730723E-02	-1.68316687E-01	 1.93393466E-03	-1.27805683E-01	-5.61693466E-02	 1.52472071E+00	 1.92751941E-01
 1.60486715E+00	 1.59387616E-01	-4.43461083E-03	-1.10503975E-02	 2.55208549E+00	-4.68674339E-02	-1.68419367E-01	 1.93276905E-03	-1.29431149E-01	-5.50379676E-02	 1.52660702E+00	 1.93000382E-01
 1.63824082E+00	 1.60584141E-01	-4.46823929E-03	-1.11377846E-02	 2.55211698E+00	-4.69349717E-02	-1.68541014E-01	 1.95461534E-03	-1.30408115E-01	-5.46127145E-02	 1.52847360E+00	 1.93246611E-01
 1.67122974E+00	 1.61702464E-01	-4.51694132E-03	-1.12407612E-02	 2.55214509E+00	-4.69844747E-02	-1.68676884E-01	 2.00608951E-03	-1.31299068E-01	-5.41914079E-02	 1.53024072E+00	 1.93479998E-01
 1.70386436E+00	 1.62753292E-01	-4.56172442E-03	-1.13268677E-02	 2.55206891E+00	-4.70386901E-02	-1.68800704E-01	 2.05960027E-03	-1.32518463E-01	-5.32459781E-02	 1.53186277E+00	 1.93694444E-01
 1.73617422E+00	 1.63747406E-01	-4.59062021E-03	-1.13887594E-02	 2.55194321E+00	-4.71049176E-02	-1.68905860E-01	 2.09592806E-03	-1.33833367E-01	-5.20546473E-02	 1.53337547E+00	 1.93894637E-01
 1.76818825E+00	 1.64689080E-01	-4.61116073E-03	-1.14460713E-02	 2.55185861E+00	-4.71752308E-02	-1.69007277E-01	 2.12152075E-03	-1.34860354E-01	-5.12203847E-02	 1.53483020E+00	 1.94087345E-01
 1.79993411E+00	 1.65579603E-01	-4.63596828E-03	-1.15123713E-02	 2.55182372E+00	-4.72416816E-02	-1.69114842E-01	 2.14879082E-03	-1.35646766E-01	-5.08901383E-02	 1.53623361E+00	 1.94273414E-01
 1.83143716E+00	 1.66422025E-01	-4.66656149E-03	-1.15803353E-02	 2.55178849E+00	-4.73035011E-02	-1.69223105E-01	 2.17937035E-03	-1.36497016E-01	-5.06876532E-02	 1.53756280E+00	 1.94449781E-01
 1.86271988E+00	 1.67221463E-01	-4.69536870E-03	-1.16384486E-02	 2.55172708E+00	-4.73636158E-02	-1.69324526E-01	 2.20948431E-03	-1.37472338E-01	-5.02955909E-02	 1.53880921E+00	 1.94615288E-01
 1.89380194E+00	 1.67982366E-01	-4.71800684E-03	-1.16876270E-02	 2.55165808E+00	-4.74236343E-02	-1.69419936E-01	 2.23925908E-03	-1.38363650E-01	-4.98205559E-02	 1.53998739E+00	 1.94771844E-01
 1.92470059E+00	 1.68707252E-01	-4.73777094E-03	-1.17362990E-02	 2.55160297E+00	-4.74827371E-02	-1.69513767E-01	 2.27094608E-03	-1.39070606E-01	-4.95287299E-02	 1.54111220E+00	 1.94921398E-01
 1.95543115E+00	 1.69397956E-01	-4.75927372E-03	-1.17873591E-02	 2.55155882E+00	-4.75394688E-02	-1.69606778E-01	 2.30392411E-03	-1.39741920E-01	-4.94452260E-02	 1.54218507E+00	 1.95064125E-01
 1.98600734E+00	 1.70056897E-01	-4.78244656E-03	-1.18365830E-02	 2.55151266E+00	-4.75934898E-02	-1.69697099E-01	 2.33622252E-03	-1.40523961E-01	-4.93768697E-02	 1.54320259E+00	 1.95199558E-01
 2.01644144E+00	 1.70686808E-01	-4.80420848E-03	-1.18807326E-02	 2.55146194E+00	-4.76456016E-02	-1.69784626E-01	 2.36827909E-03	-1.41364682E-01	-4.92225220E-02	 1.54416710E+00	 1.95328000E-01
